"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
7.45558036852015e-09,0.104191353288854,0.137,0.028,9.62813648790692e-05,"Th0","CLECL1"
8.82982130663928e-09,-0.339771558346513,0.977,0.98,0.00011402831235394,"Th0","VDAC2"
9.01799450119855e-09,0.762023793267258,1,0.888,0.000116458380988478,"Th0","LTB"
9.72613987156806e-09,-0.49296230583872,0.695,0.822,0.00012560337030143,"Th0","RALA"
1.02461062414414e-08,-0.393248431394581,0.817,0.908,0.000132318216001974,"Th0","ETHE1"
1.03201115820533e-08,0.289364431316852,0.573,0.345,0.000133273920970637,"Th0","TNIK"
1.13079299783512e-08,0.428618682202661,0.679,0.481,0.000146030607740428,"Th0","ADD3"
1.16852509522967e-08,0.238611223988437,0.481,0.257,0.00015090333079796,"Th0","BDH1"
1.22210777761549e-08,0.527654157280441,0.985,0.991,0.000157822998401265,"Th0","MT-ATP6"
1.32228995575545e-08,0.370696400578105,0.733,0.479,0.000170760524886259,"Th0","OXNAD1"
1.33363881000439e-08,0.429993478369867,0.901,0.793,0.000172226115923966,"Th0","LCK"
1.35783887777121e-08,-0.297762396491216,0.122,0.359,0.000175351312675374,"Th0","KLF7"
1.44349297679616e-08,0.212071943456259,0.359,0.154,0.000186412683023456,"Th0","DUSP5"
1.6420224231567e-08,0.36731505697476,0.908,0.725,0.000212050775726457,"Th0","EIF2AK2"
1.73498843756315e-08,0.187021968987831,0.366,0.167,0.000224056406826905,"Th0","TBC1D2B"
1.74164535313071e-08,0.26939148964731,0.55,0.315,0.0002249160809033,"Th0","NIN"
1.78170392157278e-08,-0.644460934211255,0.824,0.88,0.000230089244431909,"Th0","ARID5A"
1.78846563683799e-08,0.450879174423423,0.84,0.595,0.000230962452341258,"Th0","CD96"
1.8053604622746e-08,0.381218775259744,0.969,0.931,0.000233144250098142,"Th0","TMEM123"
1.86983659879591e-08,0.522684350667403,0.557,0.328,0.000241470698368503,"Th0","FRMD4B"
1.91054257608333e-08,0.195089615492109,0.359,0.16,0.000246727468275401,"Th0","TC2N"
1.98681925110869e-08,0.354643327646038,0.786,0.589,0.000256577838088176,"Th0","RNASEH2B"
2.14208467465226e-08,-0.223508284143186,0.015,0.231,0.000276628814884593,"Th0","PMEPA1"
2.19770224522649e-08,-0.428503757976128,0.588,0.764,0.000283811267948548,"Th0","PPP1R14B"
2.23478919574682e-08,-0.245737677317523,1,0.999,0.000288600676738745,"Th0","GNB2L1"
2.67740626731944e-08,0.357288777000995,0.55,0.315,0.000345760245361633,"Th0","OAS3"
2.82466441900074e-08,0.265910156737536,0.687,0.459,0.000364777163069755,"Th0","RBL2"
