"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
0.00115837418417962,-0.174308718254781,0.269,0.379,1,"Th2","SPSB3"
0.0011594707175678,-0.240355471437242,0.538,0.634,1,"Th2","CNP"
0.00116117109890685,0.128099087872818,0.4,0.269,1,"Th2","TRAPPC10"
0.00116128231432268,0.131316288440835,0.607,0.473,1,"Th2","BLM"
0.00116424678147645,0.148354157231042,0.821,0.738,1,"Th2","PNRC2"
0.00116870543604041,0.165125057361837,0.669,0.51,1,"Th2","BRCA1"
0.00117113566911527,-0.158174433738135,1,0.986,1,"Th2","HNRNPK"
0.00118481511288824,0.162347186338274,0.524,0.389,1,"Th2","MDFIC"
0.0011920924797916,0.173158231314636,0.724,0.609,1,"Th2","SMC5"
0.00119697955487865,0.125390251562381,0.386,0.274,1,"Th2","CENPP"
0.00119718167287735,0.2001390351398,0.897,0.823,1,"Th2","DDX18"
0.00120027133673472,0.153942609731063,0.455,0.331,1,"Th2","ARAP2"
0.00121225350999683,-0.253395801239718,0.662,0.725,1,"Th2","PPP1R14B"
0.00121239879181059,0.108762266688785,0.414,0.289,1,"Th2","SOS1"
0.00121413107759753,-0.133293573807164,0.303,0.439,1,"Th2","THAP3"
0.00123079933862708,0.180598723273591,0.676,0.559,1,"Th2","WHSC1"
0.00123120540955014,0.262589270930658,0.986,0.968,1,"Th2","RNF213"
0.00124019476864075,0.238535721128316,0.876,0.764,1,"Th2","KIAA0101"
0.00124606880433485,-0.237085756799818,0.614,0.671,1,"Th2","DEGS1"
0.0012561617690663,-0.283735644014483,0.972,0.967,1,"Th2","SH3BGRL3"
0.0012801657317238,-0.157023851824046,0.179,0.309,1,"Th2","ZC3H12A"
0.00130150015543541,0.112242798796777,0.214,0.118,1,"Th2","MT-ATP8"
0.00130486913705217,-0.130381358183889,0.103,0.215,1,"Th2","SMIM14"
0.00131918507770252,-0.166667906019992,0.021,0.103,1,"Th2","SPINK2"
0.00132454044204274,-0.186078729294279,0.255,0.371,1,"Th2","SERTAD1"
0.00132478828855409,-0.176573057753707,0.51,0.607,1,"Th2","ACOT13"
0.00132902135634749,-0.177084268261801,0.593,0.683,1,"Th2","RGS19"
0.0013303083579713,-0.305798700315846,0.931,0.923,1,"Th2","CD37"
0.00133082457676905,0.140782312331656,0.662,0.533,1,"Th2","STX10"
0.00135568128911811,0.156928471358592,0.683,0.543,1,"Th2","DCP2"
0.00137558375924317,0.170851368195801,0.538,0.405,1,"Th2","ZNF33A"
0.0013993278173889,-0.239867605339649,0.834,0.863,1,"Th2","SURF4"
0.00140560673852619,0.116141931150701,0.421,0.281,1,"Th2","HLTF"
0.0014072951571837,-0.16068407535039,0.338,0.464,1,"Th2","STARD3"
0.00140826363100657,0.116587158235252,1,1,1,"Th2","RPS15"
0.00140857151047664,-0.164904400197522,0.241,0.352,1,"Th2","GRINA"
0.0014132068584583,-0.180055950032874,0.779,0.839,1,"Th2","TAPBP"
0.001425713731931,0.114958552601035,0.428,0.292,1,"Th2","ST8SIA4"
0.00144096823820925,-0.105897795642245,0.034,0.124,1,"Th2","PRR5L"
0.00145445484515819,0.18258909590999,0.897,0.84,1,"Th2","SMCHD1"
0.00146090619540541,-0.250646729039296,0.586,0.685,1,"Th2","CD82"
0.00146600641452217,-0.208133652652693,0.241,0.385,1,"Th2","DDX60L"
0.00149361232193778,0.174119282882605,0.924,0.841,1,"Th2","RBMX"
0.00150333848205071,0.168791109744618,0.972,0.945,1,"Th2","SNRPF"
0.00150652860063146,-0.250014299933309,0.372,0.492,1,"Th2","RAB9A"
0.00151007898407533,0.134312863841613,1,0.996,1,"Th2","ATP5L"
0.00151862342699747,0.118373068748142,0.51,0.37,1,"Th2","MND1"
0.00151933071274906,-0.139670080108244,0.186,0.306,1,"Th2","MAML2"
0.0015295099087344,-0.185876207097995,0.676,0.749,1,"Th2","C6orf62"
0.00153285960401958,-0.42618892986574,0.441,0.602,1,"Th2","MIR155HG"
0.00154307190846349,0.128476748593459,0.379,0.248,1,"Th2","GOLGA8A"
0.0015604629395539,-0.172877114862589,0.317,0.454,1,"Th2","HERC6"
0.00156668266247536,0.123784907830275,0.448,0.319,1,"Th2","TIMELESS"
0.00156877085869577,0.194366696542294,0.448,0.343,1,"Th2","NMT2"
0.00157398099378394,-0.185486358572308,0.793,0.801,1,"Th2","COPS6"
0.00159544041516479,-0.186581581814786,0.738,0.779,1,"Th2","DHRS7"
0.0015973258757787,-0.170266319832173,0.31,0.434,1,"Th2","GCA"
